smiles,ic50,cluster
O=C(COc1ccc2c(=O)ccoc2c1)Nc1cccc(NC(=O)c2ccc(Br)cc2)c1,49.0,6
O=C(NCc1ccc(Br)cc1)c1ccc2c(c1)OCc1cnccc1-2,174.0,3
Cc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,22.0,6
Cc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,36.7,3
Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,9.0,0
Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,63.1,0
Cc1ccc(CN2CC[C@@H](Nc3cccc4cnccc34)C2)cc1,29.9,5
Cc1ccc(CN2CC[C@H](Nc3cccc4cnccc34)C2)cc1,789.0,5
Cc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1,349.0,3
CCc1cc(N2CCC(Nc3cccc(OC)c3)C2=O)ccc1-c1cn[nH]c1,5.0,1
CCc1cc(N2CCC(Nc3ccc(F)c(OC)c3)C2=O)ccc1-c1cn[nH]c1,55.0,7
CCc1cc(N2CCC(Nc3cc(F)cc(OC)c3)C2=O)ccc1-c1cn[nH]c1,5.0,11
CCc1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,24.0,6
C#Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,69.1,0
CCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,86.9,0
C#Cc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,111.0,0
C#Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,53.1,0
CC(C)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,334.0,0
CC(C)(C)c1ccc(C(=O)Nc2cccc(NC(=O)COc3ccc4c(=O)ccoc4c3)c2)cc1,34.0,6
CCC(C)OC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,2.6,10
CCCCOC(=O)c1cccc(NC(=O)c2cccc(-c3cc(C(=O)Nc4ccncc4F)ccc3CN)c2)c1,27.0,10
CC(C)N1CCC(NC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.47,15
CC(C)N1CCC(CNC(=O)c2cccc([C@@H](CO)NC(=O)c3ccc(-c4ccncc4)cc3)c2)CC1,0.31,14
CC(C)NC(=O)c1cc2ccc(-c3nccc(Nc4ccc5[nH]ncc5c4)n3)cc2[nH]1,22.0,2
CCC(NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)c1ccc(Cl)cc1,126.0,9
