SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CNC(=O)CCCCCC[C@H](C)OC,"0",1,Done,10.62,-3.86232,"grid",-3.86232,-1.83274,-0.32,-2.1494,-2.03655,-29.2659,-10.1599,5.65497,-0.191302,-67.8134,-39.4259,3.00201
CNC(=O)CCCCCC[C@@H](C)OC,"0",2,Done,10.34,-4.14188,"grid",-4.14188,-2.05986,-0.550522,-2.03427,-2.07737,-29.14,-9.59101,5.65497,-0.179173,-69.5858,-38.731,2.86051
CCC(=O)CCCCCC[C@H](C)OO,"1",3,Done,16.06,-2.61826,"grid",-2.61826,-1.82598,-0.32,-2.3,-2.02984,-24.8234,-8.74456,6.41041,0,-61.8424,-33.568,4.87014
CCC(=O)CCCCCC[C@@H](C)OO,"1",4,Done,15.6,-2.5243,"grid",-2.5243,-1.67288,-0.312562,-2.3,-2.02984,-26.0927,-8.7653,6.41041,0,-60.7923,-34.858,5.61189
C[NH2+][C@H](C=O)CCCCCCCOC,"2",5,Done,17.14,-2.80612,"grid",-2.80612,-1.31118,-0.0508241,-2.3,-2.17161,-24.2217,-9.12973,5.60804,0,-61.8156,-33.3514,5.81253
C[NH2+][C@@H](C=O)CCCCCCCOC,"2",6,Done,15.36,-3.31683,"grid",-3.31683,-1.44034,-0.608,-2.21025,-2.02968,-22.8324,-9.96654,5.60804,0,-66.0387,-32.799,2.89232
CN[C@H](C=O)CCCCCCCOC,"2",7,Done,18.58,-3.79635,"grid",-3.79635,-1.38152,-0.646863,-2.3,-2.03655,-20.4631,-13.2585,5.65497,-0.0744609,-58.9537,-33.7215,10.2568
CN[C@@H](C=O)CCCCCCCOC,"2",8,Done,21.1,-3.02503,"grid",-3.02503,-1.02875,-0.346193,-2.3,-2.03655,-22.5886,-11.9586,5.65497,-0.0452902,-56.8175,-34.5472,7.07161
CCOC(=O)CCCCCC(=O)NC,"3",9,Done,8.61,-3.56746,"grid",-3.56746,-1.10691,-0.298567,-2.3,-2.13684,-28.5812,-11.7373,5.65699,-0.192462,-72.3924,-40.3186,6.26753
CCCCCC(=O)C[C@H](C)[NH2+]CCO,"4",10,Done,20.58,-3.45104,"grid",-3.45104,-1.92626,-0.310882,-2.3,-2.10371,-24.0076,-13.0006,6.40918,-0.068895,-70.2716,-37.0082,8.14918
CCCCCC(=O)C[C@@H](C)[NH2+]CCO,"4",11,Done,19.88,-2.97084,"grid",-2.97084,-1.49366,-0.183539,-2.3,-2.0753,-19.7703,-15.3766,6.40918,-0.0325205,-71.2515,-35.1469,7.45609
O=C(CO)CCCCCCO,"5",12,Done,11.74,-1.10677,"grid",-1.10677,-0.773549,-0.445016,-1.80324,-2.25,-17.4518,-20.6003,8.22767,-0.1,-74.9567,-38.0521,4.43485
O=CCCCCCCCCCC=O,"6",13,Done,17.8,-1.67956,"grid",-1.67956,-1.43248,-0.32,-2.3,-2.15267,-26.4919,-10.2192,7.48307,-0.1,-58.4168,-36.7111,5.95482
