Target,CHK1_5DLS,Ancestor,CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeight
CC(C)(CN)CCCCCCC(=O)Nc1nc2ccccc2[nH]1,8,-9.37,0.61,2.32,316.23
CN[C](C)CCNC(=O)CCCC(=O)Nc1nc2ccccc2[nH]1,8,-9.51,0.56,2.55,330.19
CC=C(N)CCNC(=O)NCCC(=O)n1cnc2ccccc21,2,-8.62,0.75,2.77,315.17
CN[C@H](C)CCNC(=S)CCCC(=O)n1cnc2ccccc21,7,-9.64,0.73,3.21,332.17
CN[C@@H](C)CCNC(=O)CCOC(=O)Cc1cc2cccnc2[nH]1,8,-10.14,0.6,3.07,332.18
CNC(C)CCNC(=O)CCOC(=O)Cc1cc2cccnc2[nH]1,7,-10.14,0.6,3.07,332.18
CN[C](N)CCNC(=S)NCCC(=O)n1cnc2ccccc21,9,-9.47,0.55,2.87,333.15
CC[C@H](C[C@@H](C)CCN)C(=O)n1cnc2ccccc2c1=O,7,-8.58,0.89,3.36,301.18
CC=CCCC(=O)N(CCC(N)=O)c1ccc(CCCN)cn1,7,-7.97,0.64,2.72,318.21
NCCCN1C(=O)C(CCCc2cccnc2)C1=O,6,-8.37,0.58,2.41,261.15
CCCCNC(=O)c1ccc(OC)cc1OCC(CC)C(C)N,6,-8.01,0.65,2.91,322.23
CN(CN)C1=C(NCCC(=O)Nc2ccccc2Cl)C(=O)CC=C1,3,-7.47,0.65,2.95,348.14
CC=C(C)CCc1c[nH]c(=O)n1CCC(=O)n1ccc2ccccc21,0,-7.27,0.7,2.98,337.18
CCC(CC)CC(=O)Nc1cccn1C(=O)CNN1CCCCN1,7,-9.03,0.68,3.46,335.23
CN[C@H](C)CCNC(=S)CNCC(=O)Nc1nc2ccccc2s1,5,-8.56,0.51,3.1,365.13
CC(NCN1C(=O)CCCC1N)c1ccccc1,3,-8.37,0.85,3.21,247.17
CC=C(C)c1c[nH]c(=O)n1CCC(=O)Oc1ccccc1,1,-7.14,0.68,2.67,286.13
CNC(=O)c1cccc(OC)c1NN(C)CCC(N)=O,6,-7.56,0.62,2.62,280.15
C[C@@H](CCNC(=O)NCCC(=O)Nc1nc2ccccc2o1)NN,4,-9.84,0.36,2.98,334.18
CCCCN1CCCC1c1cccc(OC(=O)CC[C@@H](C)CC(N)=O)n1,0,-7.95,0.65,3.4,361.24
CC=C(CCNC(=O)NCC)C(=O)Oc1cccc(OCC)c1,4,-7.22,0.44,2.45,320.17
CCc1cnccc1NC(=O)CCCCNCCCNCN,4,-8.39,0.34,2.48,307.24
CC[C@H](NC1CCN(CNCO)CC1)OCc1ccccc1,7,-8.1,0.6,3.19,307.23
CNC(C)CCNC(=O)NCCC(=O)N1C=Nc2ccccc2N1,4,-8.3,0.6,3.48,332.2
CCCCCC(O)(CCCN(C)C)NCc1cc2ccccc2[nH]1,9,-8.77,0.43,3.18,331.26
CCCCn1cccc1C1CC(NC(=O)CCC(=O)CC(N)=O)=N1,2,-7.54,0.67,3.45,332.18
CCCCCCOC(=O)Cc1cccc(N2CCC2CNN(C)C)c1,4,-8.28,0.38,3.04,347.26
CNCCCN(CNCCSC(C)C)C(=O)Nc1ccc2c(c1)NN(C)CC2,9,-8.07,0.33,3.29,408.27
CCCCCC(CCC)CCC(=O)Nc1cccc(CCN2CCNC2CC)c1,9,-7.84,0.4,3.35,401.34
CCCCN1CCC[C@@H]1c1cccc(OC(=O)OCC(N)CCCO)c1,3,-7.47,0.49,3.23,364.24
CCCCNC(=O)c1ccc(OC)cc1NC[C@H](N)C(C)CO,7,-7.6,0.49,3,323.22
C=NCCc1ccc(N(CCC(N)=O)C(=O)NC=C[C]C)cc1,3,-7.45,0.68,3.43,314.17
NCCNC[C@@H](N)CCCCNc1cc2ccnc-2cs1,6,-8.73,0.5,3.32,307.18
Cc1ccccc1CNNCCn1c(=O)cn[nH]c1=O,3,-7.35,0.49,2.67,275.14
CN(C)NNNCCCC(=O)CCNC(=O)NC1=Nc2ccccc2C1,8,-9.22,0.3,3.31,361.22
CCC[C@H](C)[C]1C(=O)c2ccccc2O[C@H]1O,5,-7.19,0.87,3.45,233.12
CNC(N)NCNC(=O)NCCC(=O)n1cnc2ccccc21,3,-8.8,0.43,3.38,319.18
CN[C@H](C)C=NNC(=S)NCCC(=O)Nc1cc2ccccc2[nH]1,6,-9.29,0.3,3.34,346.16
CCCCNC1CCN1c1cccc(CC(=O)OC(C)C(C)C)c1,3,-7.37,0.55,3.35,332.25
CCCC(CC=Cc1ccccc1)CCNC(=O)C=CCCCN,2,-7.29,0.44,3.04,328.25
C[C@H](CC=O)c1cc2ccccc2n1NCCCCNCCN,7,-8.62,0.44,3.42,316.23
CCCNCN(CCC(=O)Nc1ccc2c(c1C)C[C@@H](C)C2)CNCC(N)=O,7,-8.32,0.32,3.49,389.28
CNCCC(=CC(C)C)NC(=O)NCNCc1ccccc1,4,-7.2,0.42,2.86,304.23
CCCCNC(=O)c1cccc(OC)c1C=CC[C@@H](C)C(N)O,5,-7.49,0.48,3.27,320.21
Cc1ccccc1N1NCC(=O)C1NCCCCN,8,-7.43,0.65,3.35,262.18
CCCNCN(CCC(=O)Nc1cccc2c1CN(C)CN2C)OCC=O,9,-8.39,0.26,3.42,377.24
CN(C)CC=CCC(=O)N1OOc2ccccc2C1=O,4,-7.05,0.61,3.3,276.11
CCCNCN(CCC(=O)Nc1ccc2c(c1)N(N)C(C)CO2)C(C)=O,8,-7.43,0.37,3.37,363.23
CC(N)Nc1ccc(NCCC(=O)NCCC(C)C(=O)O)cn1,5,-7.66,0.4,3.31,323.2
CCSCCC(=O)C=CNCC=CNCCNC(=O)Nc1ccccn1,4,-7.07,0.31,3.29,377.19
CCCCCC(CCC(=O)Nc1ccc2c(c1)C[C@H](C)NC2)NCCC(=N)N,7,-7.66,0.22,3.46,387.3
CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,0,-8.99,0.51,4.48,344.16
CC(N)C/N=C/n1c2c3c(cc-2cn(CCC(=O)O)c1=O)CNC=N3,0,-8.99,0.51,4.48,344.16
CC(=O)C1=NC(C)C2=NC(SCCCN)=NC2C1=O,8,-7.6,0.75,4.59,280.1
CC(=O)C1=CNNC(=C2C=C(C[C@H](C)N)CN2)C1=O,7,-9.17,0.41,4.32,262.14
C=C(C=CCCC(=O)NC(C)C)C(C)[C@H]1SNC2=NCCC21,4,-7.43,0.56,4.75,321.19
C[C](C)CN1CNC(NCCC(=O)NCNCCCCC=O)SC1,9,-7.9,0.22,4.22,358.23
CC(C)CCCN=CN1SCC=C1CN1CN=C(C(N)N)CC1=O,8,-7.98,0.22,4.38,352.2
,,,,,
Target,CHK1_5DLS,Ancestor,NCC1CN(c2ncnc3[nH]c4cnccc4c23)CCO1,,
SMILES,epoch,dockingScore,QED,SA,MolecularWeight
CC(C)NCC1CCN(Cc2ccccc2-c2ccccc2)CC1,4,-8.63,0.84,1.9,322.24
CNCCCCCCN(C)CCc1ccccc1-c1cccnc1,34,-9.73,0.63,2.17,325.25
CCCNCCCN(C)CCCc1ccccc1-c1cccnc1,38,-9.22,0.63,2.16,325.25
CN(CCNC(=O)c1ccccc1)c1ccnnc1,24,-8.14,0.88,2.18,256.13
