smiles,ic50,glide_ROCK2_6ED6,glide_ROCK2_6ED6_3f,glide_ROCK2_4WOT,vina_ROCK2_6ED6,vina_ROCK2_6ED6_3f,vina_ROCK2_4WOT,cluster
Brc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,586.0,-6.49249,-6.59531,-6.64842,-10.579,-11.088,-10.93,0
O=C(NCc1ccc(Br)cc1)c1ccc2c(c1)OCc1cnccc1-2,174.0,-7.94713,-9.09871,-8.39677,-11.287,-11.783,-11.354,1
Cc1ccccc1CNC(=O)c1ccc2c(c1)OCc1cnccc1-2,50.7,-8.53723,-8.7675,-8.40716,-11.871,-11.617,-11.557,1
Cc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,232.0,-9.67281,-9.90642,-8.42168,-10.522,-11.197,-11.154,0
Cc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,36.7,-11.3001,-8.69156,-9.84723,-11.82,-11.735,-11.594,1
Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1O,32.0,-9.87171,-9.26717,-8.33268,-11.531,-12.584,-11.467,0
Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,9.0,-6.9013,-7.13924,-6.21518,-10.787,-12.035,-11.354,0
Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,63.1,-8.99897,-10.5526,-8.88316,-10.834,-11.803,-10.972,0
Cc1ccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cc1,349.0,-8.04998,-8.88004,-6.63867,-10.993,-11.353,-11.565,1
Cc1cc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)cs1,49.7,-8.53444,-9.19366,-9.77136,-11.058,-11.144,-11.017,1
C#Cc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,57.0,-7.10414,-7.59827,-6.91236,-11.725,-11.917,-11.83,0
C#Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,69.1,-8.37945,-9.79325,-8.47411,-11.154,-11.195,-12.256,0
C=Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,69.5,-8.78043,-9.78756,-8.57822,-11.813,-12.231,-12.002,0
CCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,86.9,-8.35212,-9.49041,-8.28395,-11.467,-12.43,-11.889,0
C#Cc1ccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)cc1,111.0,-7.5342,-8.97251,-8.2037,-10.79,-11.674,-11.596,0
C#Cc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,53.1,-8.31085,-8.98813,-8.71243,-11.875,-11.732,-11.551,0
CC(C)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,334.0,-8.09902,-7.60777,-5.53442,-12.005,-12.553,-12.517,0
CC(C)Cc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,3660.0,-6.94789,-7.69356,-8.07982,-12.027,-13.086,-11.51,0
CCCCc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,4690.0,-7.70031,-8.39895,-7.13567,-12.691,-13.345,-13.302,0
CCCN1CCCC(Nc2ccc3[nH]ncc3c2)C1,780.0,-9.41902,-9.06132,-8.58211,-8.659,-9.576,-9.293,0
CC(C)Oc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,493.0,-8.47859,-9.85388,-7.92045,-12.495,-13.08,-12.285,1
CC(C)Oc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,9980.0,-8.42464,-8.84951,-9.57874,-11.63,-12.734,-12.208,0
CCN(C)C(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,497.0,-10.395,-9.85462,-8.5277,-13.568,-13.53,-13.335,1
CCNC(=O)c1cccc(C2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,4.89,-8.28388,-8.29779,-6.88773,-14.266,-14.415,-14.482,5
CCNC(=O)c1cccc([C@H]2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,4.49,-7.79138,-9.65141,-7.40933,-14.244,-13.962,-12.443,5
CCNC(=O)c1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,2.54,-9.83714,-9.76073,-9.43184,-13.748,-13.085,-13.034,1
CCNS(=O)(=O)c1cccc([C@H]2CCCN2C(=O)c2ccc(-c3cn[nH]c3)c(OC)c2)c1,15.2,-8.79571,-8.56136,-8.6255,-14.313,-14.034,-14.726,5
CCOc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,326.0,-8.33015,-9.1347,-8.80583,-11.845,-12.242,-12.446,0
CCOc1cccc(CNC(=O)c2ccc3c(c2)OCc2cnccc2-3)c1,24.8,-8.80797,-9.5481,-9.25243,-13.226,-12.945,-13.072,1
CC(=O)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,1020.0,-7.09302,-8.99867,-7.6969,-11.443,-12.408,-12.053,0
CC(=O)Nc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,6190.0,-6.904,-8.03532,-8.88097,-11.026,-11.638,-11.903,0
CC(=O)NCc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,254.0,-10.8455,-9.3546,-8.55017,-12.498,-12.717,-12.864,0
CCSc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,1310.0,-9.4862,-10.3246,-8.93779,-10.98,-11.935,-10.97,0
CCS(=O)(=O)Nc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,109.0,-9.5731,-9.59037,-10.1925,-12.58,-13.453,-12.759,0
CCS(=O)(=O)Nc1cccc(CN2CCC[C@@H](Nc3ccc4[nH]ncc4c3)C2)c1,135.0,-9.66161,-11.186,-9.07496,-13.07,-12.815,-13.691,0
CCS(=O)(=O)Nc1cccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)c1,59.2,-7.10774,-8.83128,-8.01986,-12.837,-13.785,-12.82,0
Clc1ccccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,13.0,-9.68968,-9.59468,-8.91365,-10.894,-11.565,-11.491,0
O=C(NCc1ccccc1Cl)c1ccc2c(c1)OCc1cnccc1-2,9.59,-9.60039,-9.52335,-8.73658,-12.253,-11.959,-11.802,1
Clc1cccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)c1,20.0,-8.21179,-9.87925,-8.85927,-10.696,-10.674,-11.142,0
Clc1cccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,19.0,-8.78916,-9.62662,-8.78769,-10.902,-11.118,-11.094,0
O=C(NCc1cccc(Cl)c1)c1ccc2c(c1)OCc1cnccc1-2,19.9,-8.61623,-8.35548,-6.7384,-12.33,-11.969,-11.973,1
Clc1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)cc1Cl,155.0,-7.32683,-9.0264,-9.93625,-10.296,-10.727,-11.007,0
Clc1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)cc1,24.0,-10.6144,-9.80934,-10.8612,-10.834,-11.489,-11.041,0
Clc1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,11.0,-6.83235,-9.23371,-8.37182,-10.624,-11.593,-11.034,0
Clc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1Cl,162.0,-9.21837,-10.0671,-11.0203,-11.008,-12.23,-11.345,0
Clc1ccc(CN2CCC[C@H](Nc3ccc4[nH]ncc4c3)C2)cc1,30.1,-8.53376,-9.34691,-8.68867,-10.627,-11.862,-10.766,0
O=C(NCc1ccc(Cl)c(Cl)c1)c1ccc2c(c1)OCc1cnccc1-2,300.0,-9.50625,-9.27717,-9.14086,-11.604,-12.164,-11.933,1
O=C(NCc1ccc(Cl)cc1)c1ccc2c(c1)OCc1cnccc1-2,113.0,-10.2804,-9.43151,-7.63728,-10.973,-11.572,-11.41,1
O=C(NCc1cc(Cl)cc(Cl)c1)c1ccc2c(c1)OCc1cnccc1-2,137.0,-8.99252,-10.0571,-9.40269,-11.817,-11.668,-11.58,1
Clc1ccc(Oc2cccc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)c2)cc1,6050.0,-9.35862,-10.0969,-10.3004,-13.67,-13.561,-13.898,0
c1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)C2)cc1,32.0,-9.3766,-9.29545,-9.18096,-10.513,-11.021,-10.85,0
c1cc2ccc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)cc2[nH]1,30.4,-9.02338,-8.52173,-8.19941,-11.78,-12.783,-12.222,0
c1cc2cc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)ccc2[nH]1,42.9,-8.21286,-8.78623,-8.85663,-11.691,-12.846,-11.953,0
c1cc2cc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)ccc2o1,15.3,-9.32837,-9.1509,-9.63442,-11.658,-12.086,-11.691,0
c1cc2c(cc1CN1CCCC(Nc3ccc4[nH]ncc4c3)C1)OCCO2,189.0,-8.94748,-7.19152,-6.6801,-11.635,-12.022,-11.742,0
c1cc2cc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)ccc2s1,132.0,-8.64661,-8.31155,-9.36347,-10.952,-11.573,-12.048,0
c1cc(C2CC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,251.0,-6.91922,-8.14797,-9.29411,-11.818,-12.543,-12.132,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc(C2CC2)c1,553.0,-8.23737,-8.22791,-8.4092,-12.408,-12.414,-13.058,0
c1ccc(-c2ccc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)cc2)cc1,1610.0,-8.43764,-9.03093,-10.275,-12.374,-13.497,-13.837,0
C(#CC1CC1)c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,6510.0,-5.48749,-6.8833,-6.01545,-12.649,-13.143,-12.877,0
c1cc(N2CCCC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,12200.0,-6.6942,-7.924,-8.89362,-11.989,-12.124,-12.925,0
c1cn(-c2ccc(CN3CCCC(Nc4ccc5[nH]ncc5c4)C3)cc2)cn1,2800.0,-5.66301,-6.58184,-8.25675,-11.746,-13.047,-12.08,0
c1cc(N2CCOCC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,12200.0,-8.38821,-10.9626,-9.23302,-11.819,-11.884,-13.145,0
c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cc1,20.0,-8.3919,-9.71748,-8.12967,-11.153,-11.843,-10.963,0
c1ccc(CN2CCC(Nc3ccc4[nH]ncc4c3)CC2)cc1,240.0,-8.59886,-9.45614,-8.8387,-10.996,-11.073,-10.852,0
c1ccc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)nc1,240.0,-10.4216,-10.1228,-8.9562,-10.958,-11.368,-10.66,0
c1cncc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,72.0,-5.79211,-5.58999,-4.6848,-10.144,-10.931,-10.426,0
c1c[nH]c(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,11.0,-8.96971,-9.15343,-7.95534,-10.264,-10.582,-10.637,0
c1coc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,65.0,-7.68209,-9.00668,-8.71122,-9.859,-10.717,-10.461,0
c1csc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)c1,5.0,-8.67069,-8.77302,-8.6325,-9.777,-10.0,-10.341,0
c1cc(SC2CC2)ccc1CN1CCCC(Nc2ccc3[nH]ncc3c2)C1,2130.0,-9.35862,-10.0969,-10.3004,-11.833,-12.349,-13.261,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)ccn1,190.0,-8.69143,-7.72169,-8.1711,-10.318,-10.725,-10.163,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)co1,180.0,-9.50233,-9.50678,-5.05097,-9.638,-10.362,-10.477,0
c1cc(CN2CCCC(Nc3ccc4[nH]ncc4c3)C2)cs1,3.0,-9.31582,-10.2276,-10.0152,-9.799,-10.284,-10.056,0
