source,smiles,similarity,qed,sa,ds,stage,epoch,mean_score,mean_score1
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.5819716608122717,1.6970515076270836,-7.384,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.5003935380479131,1.732456635832209,-7.263,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Cc1ccc(S(=O)NN)cc1CNc1ccccc1,0.3824027072758037,0.4455759387211141,1.7932822768578518,-7.298,1,0,-6.9315,0.6233555038690661
Cc1ccc(S(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.3728,0.6487529159090478,2.8900750913669544,-6.72,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)NN)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.31766612641815234,0.4455759387211141,1.6874309948065687,-7.423,1,0,-6.9315,0.6233555038690661
Fc1ccc(C(=O)NN)cc1COc1ccccc1,NC(N=O)c1ccc(F)c(COc2ccccc2)c1,0.6807228915662651,0.5018558358547001,1.7629361230116949,-7.185,1,0,-6.9315,0.6233555038690661
Cc1cnc(C(=O)NN)cc1CNc1ccccc1,Cc1cnc(C(=O)NO)cc1CNc1ccccc1,0.8293075684380032,0.44083716291471037,2.121864328139903,-6.544,1,0,-6.9315,0.6233555038690661
Cc1ccc(S(=O)/N)cc1COc1ccccc1,Cc1ccc(C(N)=O)cc1COc1ccccc1,0.40867992766726946,0.9192171858306739,2.645577320440685,-6.174,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)/N)cc1COc1ccccc1,Fc1ccc(C(N)=O)cc1COc1ccccc1,0.6382978723404256,0.8942605477308352,1.5995321680733632,-6.776,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)ON)cc1COc1ccccc1,Cc1ccc(S(=O)ON)cc1COc1ccccc1,0.41086587436332767,0.8551143141482813,1.90216945634503,-6.548,1,0,-6.9315,0.6233555038690661
Cc1ccc(C(=O)NN)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.31766612641815234,0.4455759387211141,1.6874309948065687,-7.423,2,1,-6.9479,0.6535304725884363
Cc1ccc(C(=O)NN)cc1CNc1ccccc1,Cc1ccc(S(=O)NN)cc1CNc1ccccc1,0.3824027072758037,0.4455759387211141,1.7932822768578518,-7.298,2,1,-6.9479,0.6535304725884363
Cc1ccc(S(=O)NN)cc1CNc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.3824027072758037,0.5780042536890432,2.9509007323925953,-6.586,2,1,-6.9479,0.6535304725884363
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NO)cc1COc1ccccc1,0.8247191011235955,0.5003935380479131,1.732456635832209,-7.263,2,1,-6.9479,0.6535304725884363
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NO)cc1COc1ccccc1,0.8247191011235955,0.5003935380479131,1.732456635832209,-7.263,2,1,-6.9479,0.6535304725884363
NC(N=O)c1ccc(F)c(COc2ccccc2)c1,CNC(=O)c1ccc(F)c(COc2ccccc2)c1,0.6902834008097166,0.8397972239584263,2.767859706751569,-6.776,2,1,-6.9479,0.6535304725884363
Cc1cnc(C(=O)NO)cc1CNc1ccccc1,Cc1cnc(C(=O)NN)cc1CNc1ccccc1,0.8293075684380032,0.5791067491798351,2.1566745845501583,-6.876,2,1,-6.9479,0.6535304725884363
Cc1ccc(S(=O)/N)cc1COc1ccccc1,Cc1ccc(C(N)=O)cc1COc1ccccc1,0.40867992766726946,0.8942605477308352,1.5995321680733632,-6.776,1,1,-6.9479,0.6535304725884363
Fc1ccc(C(N)=O)cc1COc1ccccc1,NC(=O)c1ccc(F)c(COc2ncccc2)c1,0.7093023255813954,0.8992968685254,1.6318045662634084,-6.752,2,1,-6.9479,0.6535304725884363
Cc1ccc(C(=O)ON)cc1COc1ccccc1,Cc1ccc(S(=O)ON)cc1COc1ccccc1,0.41086587436332767,0.8529001292627691,2.8322263734182354,-6.466,1,1,-6.9479,0.6535304725884363
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.5003935380479131,1.732456635832209,-7.263,3,2,-6.8191999999999995,0.6831323234647546
