source,smiles,similarity,qed,sa,ds,epoch,mean_score,mean_score1,rank,distance
,Cc1ccc(C(=O)NO)cc1NCc1ccccc1,-1.0,0.5819716608122717,1.6970515076270836,-7.402,0,-7.402,0.5819716608122717,,
,Cc1ccc(C(=O)NO)cc1NCc1ccccc1,-1.0,0.5819716608122717,1.6970515076270836,-7.402,1,-6.797999999999999,0.5073851266044569,0.0,inf
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.25972006220839816,0.5003935380479131,1.732456635832209,-7.306,1,-6.797999999999999,0.5073851266044569,1.0,inf
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NC1cccccc1,0.5224137931034483,0.4397901809531858,2.900836123011697,-5.686,1,-6.797999999999999,0.5073851266044569,2.0,inf
,Cc1ccc(C(=O)NO)cc1NCc1ccccc1,-1.0,0.5819716608122717,1.6970515076270836,-7.402,2,-6.1791,0.581623944120508,0.0,inf
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1NCc1ccccc1,0.814317673378076,0.4455759387211141,1.6874309948065687,-7.381,2,-6.1791,0.581623944120508,0.0,inf
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,COc1cc(C(=O)N)ccc1NC1cccccc1,0.282336578581363,0.868080887204286,2.8108027896783625,-4.477,2,-6.1791,0.581623944120508,0.0,inf
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)N)Occ1COc1ccccc1,0.19401041666666666,0.8998002849654353,2.981892533268107,-4.915,2,-6.1791,0.581623944120508,0.0,inf
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(S(=O)NN)cc1COc1ccccc1,0.3728,0.6487529159090478,2.8900750913669544,-6.748,2,-6.1791,0.581623944120508,0.0,1.6051327848986396
Cc1ccc(C(=O)NO)cc1NCc1ccccc1,Cc1ccc(C(=O)NN)cc1COc1ccccc1,0.25972006220839816,0.5003935380479131,1.732456635832209,-7.306,2,-6.1791,0.581623944120508,1.0,inf
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)cc1CNc1ccccc1,0.45880149812734083,0.4455759387211141,1.7932822768578518,-7.201,2,-6.1791,0.581623944120508,2.0,inf
Cc1ccc(C(=O)NN)cc1COc1ccccc1,Cc1ccc(C(=O)NN)CCC1Oc1ccccc1,0.19615384615384615,0.49548007518638576,3.11415457854644,-5.373,2,-6.1791,0.581623944120508,2.0,inf
